,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
71,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
72,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
73,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
74,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
75,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
76,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
77,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
78,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
79,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
80,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
81,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
82,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
83,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
84,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
85,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
86,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
87,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
88,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
89,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
90,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
91,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
92,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
93,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
94,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
95,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
96,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
97,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
98,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
99,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
100,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
101,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
102,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
103,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
104,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
105,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
106,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
107,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
108,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
109,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
110,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
111,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
112,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
113,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
114,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
115,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
116,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
117,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
118,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
119,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
120,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
121,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
122,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
123,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
124,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
125,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
126,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
127,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
128,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
129,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
130,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
131,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
132,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
133,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
134,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
135,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
136,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
137,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
138,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
139,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
140,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
141,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
142,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
143,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
144,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
145,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
146,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
147,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
148,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
149,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
150,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
151,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
152,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
153,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
154,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
155,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
156,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
157,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
158,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
159,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
160,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
161,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
162,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
163,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
164,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
165,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
166,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
167,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
168,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
169,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
170,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
171,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
172,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
173,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
174,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
175,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
176,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
177,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
178,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
179,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
180,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
181,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
182,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
183,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
184,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
185,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
186,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
187,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
188,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
189,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
190,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
191,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
