,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
40,4.0,41.5,0.0,-41.5,0.0,1.0,,78.0,36.0,0,1,1.0,28.0,1.0,20181018152759.0,21077.0
41,4.0,41.5,0.0,-41.5,0.0,1.0,,78.0,36.0,0,1,1.0,19.0,1.0,20181018152808.0,21077.0
42,4.0,42.5,0.0,-42.5,0.0,1.0,,78.0,36.0,0,1,1.0,15.0,1.0,20181018152810.0,11077.0
43,4.0,41.5,0.0,-41.5,0.0,1.0,,78.0,36.0,0,1,1.0,12.0,1.0,20181018152813.0,21077.0
44,4.0,41.5,0.0,-41.5,0.0,1.0,,78.0,36.0,0,1,1.0,11.0,1.0,20181018152813.0,21077.0
45,4.0,42.5,0.0,-42.5,0.0,1.0,,78.0,36.0,0,1,1.0,2.0,1.0,20181018152821.0,11077.0
46,4.0,42.5,0.0,-42.5,0.0,1.0,,78.0,36.0,0,1,0.0,53.0,1.0,20181018152829.0,11077.0
47,4.0,42.5,0.0,-42.5,0.0,1.0,,78.0,36.0,0,1,0.0,50.0,0.0,20181018152832.0,11077.0
48,4.0,42.5,0.0,-42.5,0.0,1.0,^,78.0,36.0,0,1,1.0,0.0,0.0,20181018152844.0,21086^11077
49,4.0,42.5,0.0,-42.5,0.0,1.0,1:2,78.0,36.0,0,1,1.0,0.0,0.0,20181018152845.0,11078.0
50,4.0,41.5,0.0,-41.5,0.0,1.0,1:2^2:2,78.0,36.0,0,1,1.0,0.0,0.0,20181018152903.0,11080^11078
51,4.0,42.5,0.0,-42.5,0.0,1.0,2:2^,79.0,36.0,0,1,1.0,0.0,0.0,20181018152925.0,11079^21077
52,4.0,42.5,0.0,-42.5,0.0,1.0,2:2^,79.0,36.0,0,1,1.0,0.0,1.0,20181018152931.0,11079^21077
53,4.0,42.5,0.0,-42.5,0.0,1.0,2:2^,79.0,36.0,0,1,0.0,59.0,1.0,20181018152932.0,11079^21077
54,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,59.0,1.0,20181018152932.0,21077.0
55,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,57.0,1.0,20181018152932.0,21077.0
56,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,52.0,0.0,20181018152944.0,21077.0
