,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
37,,,,,-35.5,0.8333333333333334,35.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,17.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,13,0,1,4.0,35.0,1.0,20180916154139.0,11077.0
38,,,,,-35.5,0.8333333333333334,35.5,0.8333333333333334,142.5,0.8,142.5,0.8695652173913043,,17.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,13,0,1,4.0,31.0,1.0,20180916154144.0,21077.0
39,,,,,-35.5,0.8333333333333334,35.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,17.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,13,0,1,4.0,24.0,1.0,20180916154150.0,21077.0
40,,,,,-37.5,0.8333333333333334,37.5,0.8333333333333334,144.5,0.8,144.5,0.8695652173913043,,13.0,,,,1.0,1.0,1.0,5.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,15,0,1,4.0,24.0,1.0,20180916154151.0,21074.0
41,,,,,-36.5,0.8,36.5,0.8695652173913043,143.5,0.8333333333333334,143.5,0.8333333333333334,,16.0,,,,1.0,1.0,1.0,5.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,15,0,1,4.0,19.0,1.0,20180916154156.0,21074.0
42,,,,,-36.5,0.8333333333333334,36.5,0.8333333333333334,143.5,0.8,143.5,0.8695652173913043,,16.0,,,,1.0,1.0,1.0,5.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,15,0,1,4.0,10.0,1.0,20180916154204.0,11077.0
43,,,,,-35.5,0.8695652173913043,35.5,0.8,145.5,0.8333333333333334,145.5,0.8333333333333334,,17.0,,,,1.0,1.0,2.0,5.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,9,15,0,1,4.0,5.0,1.0,20180916154209.0,11074.0
44,,,,,-35.5,0.8333333333333334,35.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,17.0,,,,1.0,1.0,2.0,5.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,9,15,0,1,3.0,59.0,1.0,20180916154216.0,21077.0
45,,,,,-36.5,0.8333333333333334,36.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,12.0,,,,1.0,1.0,2.0,6.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,54.0,1.0,20180916154221.0,21074.0
46,,,,,-36.5,0.8333333333333334,36.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,12.0,,,,1.0,1.0,2.0,6.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,52.0,0.0,20180916154222.0,21074.0
47,44.0,5.0,,,-36.5,0.8333333333333334,36.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,12.0,,,,1.0,1.0,2.0,6.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,52.0,0.0,20180916154230.0,21081.0
48,44.0,5.0,,,-36.5,0.8333333333333334,36.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,12.0,^,,,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,54.0,0.0,20180916154233.0,21077^11081
49,44.0,5.0,,,-36.5,0.8,36.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8,,12.0,^,,,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,56.0,0.0,20180916154237.0,21077^11081
