,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
51,,第3节,31.5,0.8,-31.5,0.87,183.5,0.83,183.5,0.83,31.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,45.0,48.0,0.0,1,6.0,9.0,0,,21075.0
52,,第3节,31.5,0.8,-31.5,0.87,183.5,0.83,183.5,0.83,31.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,6.0,9.0,0,,11077.0
53,,第3节,31.5,0.83,-29.5,0.83,183.5,0.83,183.5,0.83,-29.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,6.0,9.0,0,,11077.0
54,,第3节,29.5,0.83,-29.5,0.83,183.5,0.83,186.5,0.83,29.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,6.0,9.0,0,,11077.0
55,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,6.0,9.0,0,,11077.0
56,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,6.0,0.0,0,,11077.0
57,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,5.0,0.0,0,,11077.0
58,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,5.0,55.0,0,,11077.0
59,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,5.0,55.0,0,,11077.0
60,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,67.0,0.0,1,5.0,43.0,0,,11077.0
61,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,23.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,69.0,67.0,0.0,1,5.0,43.0,0,,11074.0
62,,第3节,29.5,0.83,-29.5,0.83,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,23.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,69.0,0.0,1,5.0,43.0,0,,21077.0
63,,第3节,29.5,0.8,-30.5,0.87,186.5,0.83,186.5,0.83,-30.5,,,1.0,6.0,6.0,23.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,69.0,0.0,1,5.0,43.0,0,,21077.0
64,,第3节,30.5,0.8,-30.5,0.87,186.5,0.83,187.5,0.83,30.5,,,1.0,6.0,6.0,23.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,69.0,0.0,1,5.0,43.0,0,,21077.0
65,,第3节,30.5,0.8,-30.5,0.87,187.5,0.83,187.5,0.83,187.5,,,1.0,6.0,6.0,23.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,69.0,0.0,1,5.0,43.0,0,,21077.0
66,,第3节,30.5,0.8,-30.5,0.87,187.5,0.83,187.5,0.83,187.5,,,1.0,6.0,6.0,23.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,48.0,69.0,0.0,1,5.0,39.0,0,,21077.0
