,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
31,,,4.0,-26.5,0.7692307692307693,26.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,9.0,,,8.0,9.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,16.0,1.0,20181018021135.0,11077.0
32,,,4.0,-26.5,0.7692307692307693,26.5,0.9090909090909091,179.5,0.9090909090909091,179.5,0.7692307692307693,9.0,,,8.0,9.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,8.0,1.0,20181018021144.0,11077.0
33,,,4.0,-27.5,0.9090909090909091,27.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,^,,9.0,9.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,96,0,1,5.0,0.0,1.0,20181018021152.0,11075^21077
34,,,4.0,-27.5,0.9090909090909091,27.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,,,9.0,9.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,96,0,1,4.0,59.0,1.0,20181018021153.0,21077.0
35,,,4.0,-27.5,0.9090909090909091,27.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,,,9.0,9.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,96,0,1,4.0,51.0,1.0,20181018021201.0,21077.0
36,,,4.0,-28.5,0.9090909090909091,28.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,^,,9.0,9.0,13.0,33.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,98,0,1,4.0,45.0,1.0,20181018021207.0,21074^11077
37,,,4.0,-28.5,0.9090909090909091,28.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,,,9.0,9.0,14.0,33.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,98,0,1,4.0,45.0,1.0,20181018021207.0,11077.0
38,,,4.0,-28.5,0.9090909090909091,28.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,,,9.0,9.0,14.0,33.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,98,0,1,4.0,45.0,1.0,20181018021214.0,21077.0
39,,,4.0,-28.5,0.9090909090909091,28.5,0.7692307692307693,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,,,9.0,9.0,14.0,33.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,98,0,1,4.0,29.0,1.0,20181018021222.0,21077.0
40,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,8.0,,,9.0,9.0,14.0,33.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,67,98,0,1,4.0,21.0,1.0,20181018021231.0,21077.0
