,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
11,4.0,10.5,0.0,-10.5,0.0,1.0,1:2^2:2,9,3,25.0,24,23,11.0,10,21,1,0,5.0,7,4,57.9,55.6,77.8,88,78,0,1,1.0,5.0,0.0,20181103021946.0,11079^11078
12,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,1.0,5.0,0.0,20181103021946.0,21077.0
13,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,1.0,5.0,1.0,20181103022002.0,21077.0
14,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,56.0,1.0,20181103022010.0,21077.0
15,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,52.0,1.0,20181103022015.0,21095.0
16,4.0,11.5,0.0,-11.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,49.0,1.0,20181103022019.0,11077.0
17,4.0,11.5,0.0,-11.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,48.0,0.0,20181103022020.0,11077.0
18,4.0,11.5,0.0,-11.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,48.0,0.0,20181103022022.0,11077.0
19,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,48.0,0.0,20181103022025.0,21077.0
20,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,48.0,1.0,20181103022030.0,21077.0
21,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,88,78,0,1,0.0,46.0,0.0,20181103022031.0,21077.0
22,4.0,9.5,0.0,-9.5,0.0,1.0,^,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,46.0,0.0,20181103022035.0,21074^11077
23,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,46.0,0.0,20181103022036.0,11077.0
24,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,46.0,1.0,20181103022048.0,11077.0
25,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,45.0,0.0,20181103022049.0,11077.0
26,4.0,8.5,0.0,-8.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,45.0,0.0,20181103022052.0,21077.0
27,4.0,8.5,0.0,-8.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,45.0,0.0,20181103022056.0,21077.0
28,4.0,8.5,0.0,-8.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,45.0,1.0,20181103022059.0,21077.0
29,4.0,8.5,0.0,-8.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,36.0,1.0,20181103022108.0,21077.0
30,4.0,8.5,0.0,-8.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,34.0,1.0,20181103022110.0,21094.0
31,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,32.0,1.0,20181103022112.0,11077.0
32,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,26.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,32.0,1.0,20181103022112.0,21077.0
33,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,26.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,25.0,0.0,20181103022118.0,21077.0
34,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,26.0,24,23,12.0,10,21,1,0,5.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,25.0,0.0,20181103022120.0,21077.0
35,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,26.0,24,23,12.0,10,21,1,0,8.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,25.0,0.0,20181103022124.0,11086.0
36,4.0,9.5,0.0,-9.5,0.0,1.0,1:2,9,3,26.0,24,23,12.0,10,21,1,0,8.0,7,4,60.0,55.6,77.8,89,80,0,1,0.0,25.0,0.0,20181103022130.0,21078.0
37,4.0,9.5,0.0,-9.5,0.0,1.0,1:2^2:2,9,3,26.0,24,23,12.0,10,21,1,0,8.0,7,4,75.0,55.6,77.8,89,80,0,1,0.0,25.0,0.0,20181103022148.0,21080^21078
38,4.0,9.5,0.0,-9.5,0.0,1.0,2:2^,9,3,26.0,24,23,22.0,10,21,1,0,8.0,7,4,75.9,55.6,77.8,91,81,0,1,0.0,25.0,0.0,20181103022204.0,21079^11077
39,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,26.0,24,23,22.0,10,21,1,0,8.0,7,4,75.9,55.6,77.8,91,81,0,1,0.0,25.0,0.0,20181103022210.0,11077.0
40,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,26.0,24,23,22.0,10,21,1,0,6.0,7,4,75.9,55.6,77.8,91,81,0,1,0.0,25.0,0.0,20181103022212.0,21086.0
41,4.0,9.5,0.0,-9.5,0.0,1.0,1:2,9,3,26.0,24,23,22.0,10,21,1,0,6.0,7,4,75.9,55.6,77.8,91,81,0,1,0.0,25.0,0.0,20181103022215.0,11078.0
42,4.0,11.5,0.0,-11.5,0.0,1.0,1:2^2:2,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,92,81,0,1,0.0,25.0,0.0,20181103022236.0,11079^11078
43,4.0,11.5,0.0,-11.5,0.0,1.0,1:2^2:2,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,92,81,0,1,0.0,25.0,1.0,20181103022236.0,11079^11078
44,4.0,11.5,0.0,-11.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,81,0,1,0.0,18.0,1.0,20181103022247.0,21077.0
45,4.0,11.5,0.0,-11.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,81,0,1,0.0,16.0,0.0,20181103022249.0,21077.0
46,4.0,11.5,0.0,-11.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,81,0,1,0.0,16.0,1.0,20181103022251.0,21077.0
47,4.0,10.5,0.0,-10.5,0.0,1.0,^,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,83,0,1,0.0,11.0,1.0,20181103022256.0,21074^11077
48,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,83,0,1,0.0,2.0,1.0,20181103022304.0,11077.0
49,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,83,0,1,0.0,0.0,0.0,20181103022306.0,11077.0
50,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,83,0,1,0.0,0.0,0.0,20181103022307.0,11077.0
51,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,83,0,1,0.0,0.0,0.0,20181103022307.0,1084.0
52,4.0,10.5,0.0,-10.5,0.0,1.0,,9,3,26.0,24,23,13.0,10,21,1,0,6.0,7,4,61.9,55.6,77.8,93,83,0,1,0.0,0.0,0.0,20181103022307.0,1084.0
