,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
56,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
57,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
58,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
59,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
60,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
61,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
62,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
63,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
64,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
65,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
