,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
43,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.87,1:2^2:2,,,3,,7,,6,,3,7.0,6,54.5,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124040.0,11080^11078
44,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.8,1:2^2:2,,,3,,7,,6,,3,7.0,6,54.5,60.0,30.0,36,30.0,0.0,1,1.0,2.0,0.0,20180525124054.0,11080^11078
45,,,,,-24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,-24.5,,0.87,1:2^2:2,,,3,,7,,6,,3,7.0,6,54.5,60.0,30.0,36,30.0,0.0,1,1.0,2.0,0.0,20180525124054.0,11080^11078
46,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.8,2:2,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,1.0,2.0,0.0,20180525124102.0,11079.0
47,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.8,2:2,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,1.0,2.0,0.0,20180525124102.0,11079.0
48,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.8,2:2,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,1.0,2.0,1.0,20180525124122.0,11079.0
49,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.83,2:2,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,1.0,2.0,1.0,20180525124122.0,11079.0
50,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.83,2:2,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,1.0,0.0,1.0,20180525124124.0,11079.0
51,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.83,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,1.0,0.0,1.0,20180525124124.0,21077.0
52,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.83,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124127.0,21077.0
53,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.83,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124127.0,21077.0
54,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.83,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124131.0,21077.0
55,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124131.0,11086.0
56,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124134.0,11086.0
57,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,7.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124134.0,11086.0
58,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.87,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124134.0,21078.0
59,,,,,148.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,148.5,,0.8,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,36,30.0,0.0,1,0.0,57.0,0.0,20180525124134.0,21078.0
60,,,,,148.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,148.5,,0.87,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,37,30.0,0.0,1,0.0,57.0,0.0,20180525124151.0,21078.0
61,,,,,-25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,-25.5,,0.87,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,37,30.0,0.0,1,0.0,57.0,0.0,20180525124151.0,21078.0
62,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,1:2^2:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,37,30.0,0.0,1,0.0,57.0,0.0,20180525124151.0,21079^21078
63,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.87,1:2^2:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,37,30.0,0.0,1,0.0,57.0,0.0,20180525124151.0,21079^21078
64,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,1:2^2:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,57.0,0.0,20180525124206.0,21079^21078
65,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,1:2^2:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,57.0,0.0,20180525124206.0,21079^21078
66,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.87,2:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,57.0,1.0,20180525124216.0,21079.0
67,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.83,2:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,57.0,1.0,20180525124216.0,21079.0
68,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,57.0,1.0,20180525124216.0,11077.0
69,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,57.0,1.0,20180525124216.0,11077.0
70,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,49.0,1.0,20180525124224.0,11077.0
71,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,49.0,1.0,20180525124224.0,11077.0
72,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124231.0,11077.0
73,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.87,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124231.0,11077.0
74,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124232.0,11077.0
75,44.0,5.0,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124232.0,11077.0
76,44.0,5.0,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124238.0,11077.0
77,44.0,5.0,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124238.0,11081.0
78,44.0,5.0,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124239.0,11081.0
79,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,^,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,0.0,20180525124239.0,11077^21081
80,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,^,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,1.0,20180525124425.0,11077^21081
81,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,1.0,20180525124425.0,11077.0
82,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,1.0,20180525124425.0,21077.0
83,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,41.0,1.0,20180525124425.0,21077.0
84,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.87,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,33.0,1.0,20180525124433.0,21077.0
85,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,33.0,1.0,20180525124433.0,21077.0
86,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,25.0,1.0,20180525124441.0,21077.0
87,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,25.0,1.0,20180525124441.0,21077.0
88,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,24.0,1.0,20180525124442.0,21077.0
89,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.87,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,24.0,1.0,20180525124442.0,21077.0
90,,,,,145.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,145.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,16.0,1.0,20180525124451.0,11077.0
91,,,,,145.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,145.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,16.0,1.0,20180525124451.0,11077.0
92,,,,,-24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,-24.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,16.0,1.0,20180525124451.0,11077.0
93,,,,,24.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,24.5,,0.87,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,12.0,1.0,20180525124452.0,11077.0
94,,,,,144.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,144.5,,0.87,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,12.0,1.0,20180525124452.0,11077.0
95,,,,,144.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,144.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124459.0,11077.0
