,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
28,,,,3.0,-1.5,0.8,1.5,0.8695652173913043,175.5,0.8695652173913043,175.5,0.8,,,1.7,^,63.0,66.0,0,1,0.0,9.0,1.0,20181017122947.0,21074^11077,0.6666666666666666,1.1
29,,,,3.0,-1.5,0.8,1.5,0.8695652173913043,175.5,0.8695652173913043,175.5,0.8,,,1.7,,63.0,66.0,0,1,0.0,9.0,1.0,20181017122947.0,11077.0,0.6666666666666666,1.1
30,,,,3.0,-1.5,0.8,1.5,0.8695652173913043,175.5,0.7692307692307693,175.5,0.9090909090909091,,,1.95,,63.0,66.0,0,1,0.0,0.0,0.0,20181017122957.0,11077.0,0.6666666666666666,1.1
31,,,Q4,4th Quarter,-1.5,0.8,1.5,0.8695652173913043,175.5,0.7692307692307693,175.5,0.9090909090909091,23.0,4.0,1.95,,63.0,66.0,0,1,10.0,0.0,0.0,20181017122959.0,1082.0,0.6666666666666666,1.1
32,,,Q4,4th Quarter,-1.5,0.8,1.5,0.8695652173913043,175.5,0.7692307692307693,175.5,0.9090909090909091,17.0,4.0,1.95,^,63.0,66.0,0,1,10.0,0.0,1.0,20181017123612.0,01090^11077,0.6666666666666666,1.1
33,,,Q4,4th Quarter,-1.5,0.8,1.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,17.0,4.0,1.95,,63.0,66.0,0,1,9.0,59.0,1.0,20181017123612.0,21077.0,0.6666666666666666,1.1
34,,,Q4,4th Quarter,-1.5,0.7692307692307693,1.5,0.9090909090909091,174.5,0.8333333333333334,174.5,0.8333333333333334,17.0,4.0,1.95,,63.0,66.0,0,1,9.0,50.0,1.0,20181017123621.0,21077.0,0.6666666666666666,1.1
35,,,Q4,4th Quarter,-1.5,0.8,1.5,0.8695652173913043,173.5,0.9090909090909091,173.5,0.7692307692307693,17.0,4.0,1.95,,63.0,66.0,0,1,9.0,46.0,1.0,20181017123626.0,11077.0,0.6666666666666666,1.1
36,,,Q4,4th Quarter,-1.5,0.8,1.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,17.0,4.0,1.95,,63.0,66.0,0,1,9.0,37.0,1.0,20181017123634.0,11077.0,0.6666666666666666,1.1
37,,,Q4,4th Quarter,-1.5,0.8,1.5,0.8695652173913043,172.5,0.8333333333333334,172.5,0.8333333333333334,17.0,4.0,1.95,,63.0,66.0,0,1,9.0,29.0,1.0,20181017123642.0,11077.0,0.6666666666666666,1.1
