,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
32,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,36.0,0,,21077.0,0.0,0.0
33,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,21077.0,0.0,0.0
34,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,11086.0,0.0,0.0
35,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,33.0,0,,21077.0,0.0,0.0
36,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,33.0,0,,21077.0,0.0,0.0
37,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,33.0,0,,21077.0,0.0,0.0
38,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,33.0,0,,21077.0,0.0,0.0
39,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,33.0,0,,21077.0,0.0,0.0
40,,,第4节,11.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,-10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,33.0,0,,21077.0,0.0,0.0
41,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,21077.0,0.0,0.0
42,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,21077.0,0.0,0.0
43,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,21077.0,0.0,0.0
44,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,21077.0,0.0,0.0
45,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,33.0,0,,21077.0,0.0,0.0
46,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,24.0,0,,21077.0,0.0,0.0
47,,,第4节,10.5,0.87,-10.5,0.8,138.5,0.83,138.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,24.0,0,,11094.0,0.0,0.0
48,,,第4节,10.5,0.87,-11.5,0.8,138.5,0.83,138.5,0.83,-11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,24.0,0,,11077.0,0.0,0.0
49,,,第4节,11.5,0.87,-11.5,0.8,138.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,24.0,0,,11077.0,0.0,0.0
