,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
68,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,19.0,,^,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,12.0,0,1,5.0,19.0,0.0,20180913171407.0,11077.0,0.26666666666666666,2.65,
69,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,19.0,,^,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,3.0,12.0,0,1,5.0,19.0,0.0,20180913171422.0,21086^11077,0.26666666666666666,2.65,^
70,,,,,-9.5,0.8333333333333334,9.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,1:2,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,3.0,12.0,0,1,5.0,19.0,0.0,20180913171423.0,11078.0,0.25,2.75,
71,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,166.5,0.8333333333333334,166.5,0.8333333333333334,19.0,,1:2^2:2,0.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,4.0,14.0,0,1,5.0,19.0,0.0,20180913171445.0,11079^11078,0.25,2.75,^
72,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,19.0,,2:2^,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,5.0,14.0,0,1,5.0,19.0,0.0,20180913171453.0,11079^21077,0.26666666666666666,2.65,^
73,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,19.0,,2:2^,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,5.0,14.0,0,1,5.0,19.0,1.0,20180913171453.0,11079^21077,0.26666666666666666,2.65,^
74,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,167.5,0.8,167.5,0.8695652173913043,19.0,,2:2^,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,5.0,14.0,0,1,5.0,18.0,0.0,20180913171453.0,11079^21077,0.26666666666666666,2.65,^
75,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,167.5,0.8,167.5,0.8695652173913043,19.0,,2:2^,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,5.0,14.0,0,1,5.0,18.0,1.0,20180913171458.0,11079^21077,0.26666666666666666,2.65,^
76,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,166.5,0.8333333333333334,166.5,0.8333333333333334,19.0,,2:2^,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,5.0,14.0,0,1,5.0,12.0,0.0,20180913171503.0,11079^21077,0.26666666666666666,2.65,^
77,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,166.5,0.8333333333333334,166.5,0.8333333333333334,19.0,,2:2^,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,100.0,0.0,5.0,14.0,0,1,5.0,12.0,0.0,20180913171504.0,11077.0,0.26666666666666666,2.65,^
