,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
30,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,4.0,1.0,20180513204251.0,21077.0,,0.91,0.83
31,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,42.0,0.0,20180513204251.0,11077.0,,0.91,0.83
32,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,42.0,0.0,20180513204251.0,11077.0,,0.91,0.83
33,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,42.0,1.0,20180513204327.0,11077.0,,0.91,0.83
34,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,42.0,1.0,20180513204327.0,11077.0,,0.91,0.83
35,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,37.0,1.0,20180513204328.0,11077.0,,0.91,0.83
36,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,37.0,0.0,20180513204328.0,11077.0,,0.91,0.83
37,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11077.0,,0.91,0.83
38,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,2.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,21086.0,,0.91,0.83
39,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,2.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11077.0,,0.91,0.83
40,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,1:2,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,2.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11078.0,,0.91,0.83
41,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,1:2,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,2.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11079.0,,0.91,0.83
42,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,2:2,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,3.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11078.0,,0.91,0.83
43,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,2:2,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,3.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11079.0,,0.91,0.83
44,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,2:2,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,10.0,GD,26.0,0.0,20180513204328.0,11079.0,,0.91,0.83
45,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,10.0,GD,26.0,1.0,20180513204417.0,21077.0,,0.91,0.83
46,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,10.0,GD,26.0,1.0,20180513204417.0,21077.0,,0.91,0.83
47,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,10.0,GD,7.0,1.0,20180513204431.0,21077.0,,0.91,0.83
48,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.91,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,10.0,GD,7.0,1.0,20180513204431.0,11077.0,,0.91,0.83
49,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,9.0,GD,56.0,0.0,20180513204431.0,11077.0,,0.91,0.83
50,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,9.0,GD,56.0,0.0,20180513204431.0,11077.0,,0.91,0.83
51,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,9.0,GD,56.0,1.0,20180513204458.0,11077.0,,0.91,0.83
52,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,4.0,0.0,1,9.0,GD,56.0,1.0,20180513204458.0,11074.0,,0.91,0.83
53,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,6.0,0.0,1,9.0,GD,56.0,1.0,20180513204458.0,21077.0,,0.91,0.83
54,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,6.0,0.0,1,9.0,GD,56.0,1.0,20180513204458.0,21077.0,,0.91,0.83
55,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21077.0,,0.91,0.83
56,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,11086.0,,0.91,0.83
57,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21077.0,,0.91,0.83
58,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.95,1:3,,0.0,1.0,1.0,6.0,1.0,50.0,3.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21078.0,,0.91,0.83
59,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,1:3,,0.0,1.0,1.0,6.0,1.0,33.3,3.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21080.0,,0.91,0.83
