,AM,AS,ED,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
24,,,,,^,84.0,85.0,0,1,2.0,44.0,1.0,20181017132214.0,11074^21077
25,,,,,^,84.0,85.0,0,1,2.0,35.0,1.0,20181017132222.0,11074^21077
26,,,,,^,84.0,85.0,0,1,2.0,35.0,1.0,20181017132223.0,11074^21077
27,,,,,^,84.0,85.0,0,1,2.0,31.0,0.0,20181017132227.0,11074^21077
28,,,,,,84.0,85.0,0,1,2.0,31.0,0.0,20181017132227.0,11077.0
29,,,,,1:2,84.0,85.0,0,1,2.0,31.0,0.0,20181017132227.0,11077.0
30,,,,,1:2^2:2,84.0,85.0,0,1,2.0,31.0,0.0,20181017132227.0,11080^11078
31,,,,,1:2^2:2,84.0,85.0,0,1,2.0,31.0,1.0,20181017132327.0,11080^11078
32,,,,,1:2^2:2,84.0,85.0,0,1,2.0,23.0,1.0,20181017132336.0,11080^11078
33,,,,,1:2^2:2,84.0,85.0,0,1,2.0,19.0,1.0,20181017132339.0,11080^11078
34,,,,,^,84.0,85.0,0,1,2.0,18.0,1.0,20181017132339.0,11085^11077
35,,,,,^,85.0,87.0,0,1,2.0,14.0,1.0,20181017132344.0,21074^11077
36,,,,,^,85.0,87.0,0,1,2.0,6.0,1.0,20181017132353.0,21074^11077
37,,,,,^,85.0,87.0,0,1,2.0,1.0,1.0,20181017132357.0,21074^11077
38,,,,,^,85.0,87.0,0,1,1.0,59.0,1.0,20181017132359.0,21074^11077
39,,,,,^,85.0,87.0,0,1,1.0,57.0,0.0,20181017132401.0,21074^11077
40,,,,,1:2,85.0,87.0,0,1,1.0,57.0,0.0,20181017132401.0,11078.0
41,,,,,2:2^,85.0,87.0,0,1,1.0,57.0,1.0,20181017132439.0,11080^21077
42,,,,,2:2^,85.0,87.0,0,1,1.0,49.0,1.0,20181017132447.0,11080^21077
43,,,,,2:2^,85.0,87.0,0,1,1.0,44.0,1.0,20181017132452.0,11080^21077
44,,,,,2:2^,85.0,87.0,0,1,1.0,43.0,1.0,20181017132453.0,11080^21077
45,,,,,2:2^,85.0,87.0,0,1,1.0,41.0,1.0,20181017132455.0,11080^21077
46,,,,,2:2^,85.0,87.0,0,1,1.0,37.0,0.0,20181017132459.0,11080^21077
47,,,,,,85.0,87.0,0,1,1.0,37.0,1.0,20181017132514.0,11077.0
48,,,,,,85.0,87.0,0,1,1.0,29.0,1.0,20181017132522.0,11077.0
49,,,,,,85.0,87.0,0,1,1.0,21.0,1.0,20181017132531.0,11077.0
50,,,,,,85.0,87.0,0,1,1.0,14.0,1.0,20181017132538.0,11077.0
51,,,,,,85.0,87.0,0,1,1.0,13.0,1.0,20181017132538.0,11077.0
52,,,,,,85.0,87.0,0,1,1.0,12.0,1.0,20181017132540.0,11077.0
53,,,,,,85.0,87.0,0,1,1.0,9.0,1.0,20181017132543.0,11077.0
54,,,,,^,87.0,87.0,0,1,1.0,8.0,1.0,20181017132543.0,11074^21077
55,,,,,^,87.0,87.0,0,1,1.0,4.0,0.0,20181017132548.0,11074^21077
56,,,,,^,87.0,87.0,0,1,1.0,4.0,1.0,20181017132548.0,11074^21077
57,,,,,,87.0,87.0,0,1,0.0,58.0,1.0,20181017132554.0,11077.0
58,,,,,,87.0,87.0,0,1,0.0,52.0,1.0,20181017132600.0,11077.0
59,,,,,,87.0,87.0,0,1,0.0,50.0,0.0,20181017132602.0,11077.0
60,,,,,,87.0,87.0,0,1,1.0,0.0,0.0,20181017132602.0,11077.0
61,,,,,,87.0,87.0,0,1,1.0,5.0,0.0,20181017132605.0,11077.0
62,,,,,,87.0,87.0,0,1,1.0,10.0,0.0,20181017132606.0,11077.0
63,,,,,1:1,87.0,87.0,0,1,1.0,10.0,0.0,20181017132606.0,11078.0
64,,,,,1:1,87.0,87.0,0,1,1.0,10.0,1.0,20181017132654.0,11078.0
65,,,,,,87.0,87.0,0,1,1.0,4.0,1.0,20181017132700.0,11077.0
66,,,,,,87.0,87.0,0,1,1.0,2.0,1.0,20181017132702.0,11077.0
67,,,,,,87.0,87.0,0,1,1.0,0.0,1.0,20181017132704.0,11077.0
68,,,,,,87.0,87.0,0,1,0.0,52.0,1.0,20181017132712.0,11077.0
69,,,,,,87.0,87.0,0,1,0.0,46.0,1.0,20181017132718.0,11077.0
70,,,,,,87.0,87.0,0,1,0.0,43.0,1.0,20181017132720.0,11077.0
71,,,,,,87.0,87.0,0,1,0.0,42.0,0.0,20181017132722.0,11077.0
72,,,,,^,87.0,87.0,0,1,0.0,42.0,0.0,20181017132722.0,21086^11077
73,,,,,1:2^2:2,89.0,87.0,0,1,0.0,42.0,0.0,20181017132722.0,11079^11078
74,,,,,2:2^,89.0,87.0,0,1,0.0,42.0,1.0,20181017132851.0,11080^21077
75,,,,,2:2^,89.0,87.0,0,1,0.0,33.0,1.0,20181017132859.0,11080^21077
76,,,,,,89.0,87.0,0,1,0.0,30.0,1.0,20181017132859.0,11077.0
77,,,,,,89.0,87.0,0,1,0.0,29.0,1.0,20181017132904.0,11077.0
78,,,,,,89.0,87.0,0,1,0.0,28.0,1.0,20181017132905.0,11077.0
79,,,,,,89.0,87.0,0,1,0.0,25.0,1.0,20181017132908.0,11077.0
80,,,,,,89.0,87.0,0,1,0.0,22.0,1.0,20181017132910.0,11077.0
81,,,,,,89.0,87.0,0,1,0.0,21.0,1.0,20181017132911.0,11077.0
82,,,,,,89.0,87.0,0,1,0.0,20.0,1.0,20181017132912.0,11077.0
83,,,,,,89.0,87.0,0,1,0.0,17.0,1.0,20181017132915.0,11077.0
84,,,,,,89.0,87.0,0,1,0.0,15.0,1.0,20181017132918.0,21077.0
85,,,,,,89.0,87.0,0,1,0.0,11.0,0.0,20181017132921.0,21077.0
86,,,,,1:2,89.0,87.0,0,1,0.0,16.0,0.0,20181017132929.0,21078.0
87,,,,,1:2,89.0,87.0,0,1,0.0,21.0,0.0,20181017132929.0,21078.0
88,,,,,1:2^2:2,89.0,88.0,0,1,0.0,21.0,0.0,20181017132929.0,21079^21078
89,,,,,2:2^,89.0,89.0,0,1,0.0,21.0,0.0,20181017132929.0,21079^11077
90,44.0,5.0,,,,89.0,89.0,0,1,0.0,21.0,0.0,20181017132929.0,11081.0
91,44.0,5.0,,,,89.0,89.0,0,1,0.0,21.0,1.0,20181017133142.0,11081.0
92,44.0,5.0,,,,89.0,89.0,0,1,0.0,15.0,1.0,20181017133142.0,11081.0
93,44.0,5.0,,,,89.0,89.0,0,1,0.0,10.0,0.0,20181017133153.0,11081.0
94,44.0,5.0,,,^,91.0,89.0,0,1,0.0,10.0,0.0,20181017133153.0,11074^21077
95,44.0,5.0,,,,91.0,89.0,0,1,0.0,10.0,0.0,20181017133153.0,21081.0
96,44.0,5.0,,,,91.0,89.0,0,1,0.0,10.0,1.0,20181017133333.0,21081.0
97,44.0,5.0,,,,91.0,89.0,0,1,0.0,9.0,1.0,20181017133334.0,21081.0
98,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,4.0,1.0,20181017133340.0,21081.0
99,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,2.0,1.0,20181017133342.0,21081.0
100,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,1.0,1.0,20181017133342.0,21081.0
101,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,0.0,0.0,20181017133343.0,21081.0
102,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,0.0,1.0,20181017133403.0,21081.0
103,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,0.0,0.0,20181017133405.0,21081.0
104,44.0,5.0,,1.0,,91.0,89.0,0,1,0.0,0.0,0.0,20181017133405.0,1084.0
