,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
98,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,37.0,1.0,20180913154332.0,21077.0,
99,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,30.0,1.0,20180913154339.0,21077.0,
100,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,28.0,1.0,20180913154342.0,11077.0,
101,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,27.0,1.0,20180913154342.0,11077.0,
102,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,25.0,1.0,20180913154345.0,11077.0,
103,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,16.0,1.0,20180913154353.0,11077.0,
104,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,15.0,1.0,20180913154354.0,11077.0,
105,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,13.0,1.0,20180913154356.0,11077.0,
106,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,10.0,1.0,20180913154359.0,11077.0,
107,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,9.0,0.0,20180913154400.0,11077.0,
108,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,^,58.0,79.0,0,1,2.0,10.0,0.0,20180913154414.0,11086^21077,^
109,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2,58.0,79.0,0,1,2.0,10.0,0.0,20180913154416.0,21078.0,
110,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2^2:2,58.0,79.0,0,1,2.0,10.0,0.0,20180913154447.0,21080^21078,^
111,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,2:2^,58.0,79.0,0,1,2.0,10.0,1.0,20180913154459.0,21080^11077,^
112,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,10.0,1.0,20180913154501.0,21077.0,
113,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,9.0,1.0,20180913154501.0,21077.0,
114,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,7.0,0.0,20180913154504.0,21077.0,
115,44.0,5.0,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,7.0,0.0,20180913154519.0,21081.0,
116,44.0,5.0,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,7.0,0.0,20180913154520.0,21081.0,
117,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,^^,58.0,79.0,0,1,2.0,7.0,0.0,20180913154703.0,21077^21086^11077,^^
118,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2,58.0,79.0,0,1,2.0,7.0,0.0,20180913154704.0,11078.0,
