,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
62,44.0,5.0,,第2节,-36.5,0.87,39.5,0.8,134.5,0.83,134.5,0.83,39.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1,6.0,48.0,1.0,20180622072137.0,11077.0
63,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,134.5,0.83,138.5,0.83,-39.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1,6.0,48.0,1.0,20180622072137.0,11077.0
64,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1,6.0,48.0,1.0,20180622072137.0,11077.0
65,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1,6.0,48.0,1.0,20180622072138.0,11077.0
66,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1,6.0,48.0,1.0,20180622072138.0,11077.0
67,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,0.0,6.0,30.0,1.0,20180622072155.0,11077.0
68,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,0.0,6.0,30.0,0.0,20180622072155.0,11077.0
69,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,30.0,0.0,20180622072155.0,11077.0
70,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,138.5,0.83,138.5,0.83,138.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,30.0,0.0,20180622072155.0,21086.0
71,44.0,5.0,,第2节,-39.5,0.83,38.5,0.83,138.5,0.83,138.5,0.83,38.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,30.0,0.0,20180622072155.0,11077.0
72,44.0,5.0,,第2节,-38.5,0.83,38.5,0.83,138.5,0.83,137.5,0.83,-38.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,30.0,0.0,20180622072155.0,11077.0
73,44.0,5.0,,第2节,-38.5,0.83,38.5,0.83,137.5,0.83,137.5,0.83,137.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,30.0,0.0,20180622072155.0,11077.0
74,44.0,5.0,,第2节,-38.5,0.83,38.5,0.83,137.5,0.83,137.5,0.83,137.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,0.0,6.0,30.0,0.0,20180622072155.0,11077.0
