,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
63,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,1.0,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,40.0,0,,21077.0,1.2,0.63
64,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,1.0,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,18.0,0,,21077.0,1.2,0.63
65,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,1.0,,,0.0,5.0,1.0,5.0,4.0,100.0,14.0,16.0,0.0,1,1.0,18.0,0,,21074.0,1.2,0.63
66,,,,第1节,1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,1.5,,0.77,,,0.0,5.0,1.0,5.0,4.0,100.0,14.0,16.0,0.0,1,1.0,18.0,0,,11077.0,1.2,0.63
67,,,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.91,,,0.0,5.0,1.0,5.0,4.0,100.0,14.0,16.0,0.0,1,1.0,18.0,0,,11077.0,1.2,0.63
68,,,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.87,,,0.0,5.0,1.0,5.0,4.0,100.0,14.0,16.0,0.0,1,1.0,18.0,0,,11077.0,1.2,0.63
69,,,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.8,,,0.0,5.0,1.0,5.0,4.0,100.0,16.0,9.0,0.0,1,1.0,18.0,0,,11077.0,1.2,0.63
70,44.0,5.0,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.8,,,0.0,5.0,1.0,5.0,4.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11081.0,1.2,0.63
71,44.0,5.0,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.8,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,21086.0,1.2,0.63
72,44.0,5.0,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.8,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11077.0,1.2,0.63
73,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.87,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11077.0,1.2,0.63
74,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.91,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11077.0,1.2,0.63
75,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.77,1:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
76,44.0,5.0,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.87,1:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
77,44.0,5.0,,第1节,1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,1.5,,0.8,1:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
78,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.8,1:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
79,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.8,1:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
80,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.87,1:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11079.0,1.2,0.63
81,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.87,2:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
82,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.77,2:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,9.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
83,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.91,2:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,1.0,5.0,0,,11078.0,1.2,0.63
84,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.91,2:2,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,1.0,5.0,0,,11080.0,1.2,0.63
85,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.91,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,1.0,4.0,0,,21077.0,1.2,0.63
86,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,1.0,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,1.0,4.0,0,,21077.0,1.2,0.63
87,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.71,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,1.0,4.0,0,,21077.0,1.2,0.63
88,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.83,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,1.0,4.0,0,,21077.0,1.2,0.63
89,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.83,,,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21077.0,1.2,0.63
90,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.83,,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,11086.0,1.2,0.63
91,44.0,5.0,,第1节,1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,1.5,,0.77,,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21077.0,1.2,0.63
