,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
34,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,10.0,0.0,1.0,20181026170635.0,21077.0
35,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,58.0,0.0,20181026170848.0,21077.0
36,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,58.0,1.0,20181026170902.0,11077.0
37,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.7692307692307693,119.5,0.9090909090909091,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,51.0,0.0,20181026170908.0,11077.0
38,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.7692307692307693,119.5,0.9090909090909091,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,51.0,1.0,20181026170919.0,11077.0
39,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,118.5,0.8695652173913043,118.5,0.8,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,42.0,1.0,20181026170927.0,11077.0
40,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,118.5,0.8333333333333334,118.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,42.0,1.0,20181026170927.0,11095.0
41,Q4,4th Quarter,37.5,0.8,-37.5,0.8695652173913043,118.5,0.8,118.5,0.8695652173913043,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,34.0,0.0,20181026170935.0,11095.0
42,Q4,4th Quarter,37.5,0.8,-37.5,0.8695652173913043,118.5,0.8,118.5,0.8695652173913043,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,34.0,1.0,20181026170948.0,11095.0
43,Q4,4th Quarter,37.5,0.8,-37.5,0.8695652173913043,118.5,0.7692307692307693,118.5,0.9090909090909091,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,9.0,31.0,0.0,20181026170952.0,11095.0
44,Q4,4th Quarter,37.5,0.8,-37.5,0.8695652173913043,118.5,0.7692307692307693,118.5,0.9090909090909091,5.0,4.0,^,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,31.0,0.0,20181026170959.0,11086^21077
45,Q4,4th Quarter,37.5,0.8,-37.5,0.8695652173913043,118.5,0.7692307692307693,118.5,0.9090909090909091,5.0,4.0,^,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,31.0,1.0,20181026171005.0,11086^21077
46,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,117.5,0.8333333333333334,117.5,0.8333333333333334,5.0,4.0,^,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,23.0,1.0,20181026171012.0,11086^21077
47,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,117.5,0.8333333333333334,117.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,23.0,1.0,20181026171012.0,11077.0
48,Q4,4th Quarter,37.5,0.7692307692307693,-37.5,0.9090909090909091,117.5,0.8333333333333334,117.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,23.0,1.0,20181026171019.0,21077.0
49,Q4,4th Quarter,36.5,0.9090909090909091,-36.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,5.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,8.0,1.0,20181026171027.0,21077.0
50,Q4,4th Quarter,37.5,0.8,-37.5,0.8695652173913043,117.5,0.8695652173913043,117.5,0.8,4.0,4.0,,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,60,29.0,0,1,9.0,8.0,1.0,20181026171028.0,11077.0
51,Q4,4th Quarter,38.5,0.8695652173913043,-38.5,0.8,118.5,0.8695652173913043,118.5,0.8,4.0,4.0,^,0.0,5.0,2,18.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,29.0,0,1,9.0,5.0,1.0,20181026171031.0,11074^21077
52,Q4,4th Quarter,38.5,0.8695652173913043,-38.5,0.8,118.5,0.8,118.5,0.8695652173913043,4.0,4.0,,0.0,5.0,2,18.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,29.0,0,1,8.0,56.0,1.0,20181026171039.0,21077.0
53,Q4,4th Quarter,38.5,0.8333333333333334,-38.5,0.8333333333333334,117.5,0.9090909090909091,117.5,0.7692307692307693,4.0,4.0,,0.0,5.0,2,18.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,29.0,0,1,8.0,48.0,1.0,20181026171047.0,21077.0
54,Q4,4th Quarter,38.5,0.8333333333333334,-38.5,0.8333333333333334,117.5,0.8695652173913043,117.5,0.8,4.0,4.0,,0.0,5.0,2,18.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,29.0,0,1,8.0,45.0,1.0,20181026171050.0,21094.0
55,Q4,4th Quarter,37.5,0.7692307692307693,-37.5,0.9090909090909091,119.5,0.8695652173913043,119.5,0.8,4.0,4.0,,0.0,5.0,2,18.0,9.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,31.0,0,1,8.0,44.0,1.0,20181026171052.0,21094.0
56,Q4,4th Quarter,37.5,0.7692307692307693,-37.5,0.9090909090909091,119.5,0.8695652173913043,119.5,0.8,4.0,4.0,,0.0,5.0,2,18.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,31.0,0,1,8.0,44.0,1.0,20181026171052.0,11077.0
57,Q4,4th Quarter,37.5,0.7692307692307693,-37.5,0.9090909090909091,119.5,0.8,119.5,0.8695652173913043,4.0,4.0,,0.0,5.0,2,18.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,62,31.0,0,1,8.0,35.0,1.0,20181026171101.0,11077.0
58,Q4,4th Quarter,39.5,0.8,-39.5,0.8695652173913043,122.5,0.7692307692307693,122.5,0.9090909090909091,4.0,4.0,^,0.0,6.0,2,18.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,8.0,28.0,1.0,20181026171108.0,11075^21077
59,Q4,4th Quarter,39.5,0.7692307692307693,-39.5,0.9090909090909091,121.5,0.8695652173913043,121.5,0.8,4.0,4.0,,0.0,6.0,2,18.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,8.0,19.0,1.0,20181026171116.0,21077.0
60,Q4,4th Quarter,39.5,0.7692307692307693,-39.5,0.9090909090909091,121.5,0.8,121.5,0.8695652173913043,4.0,4.0,,0.0,6.0,2,18.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,8.0,13.0,1.0,20181026171123.0,21094.0
61,Q4,4th Quarter,39.5,0.8695652173913043,-39.5,0.8,121.5,0.8,121.5,0.8695652173913043,4.0,4.0,^,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,8.0,13.0,1.0,20181026171123.0,11077.0
62,Q4,4th Quarter,39.5,0.8695652173913043,-39.5,0.8,122.5,0.8695652173913043,122.5,0.8,4.0,4.0,,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,7.0,59.0,1.0,20181026171136.0,21077.0
63,Q4,4th Quarter,39.5,0.8695652173913043,-39.5,0.8,122.5,0.8,122.5,0.8695652173913043,4.0,4.0,,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,7.0,51.0,1.0,20181026171145.0,21077.0
64,Q4,4th Quarter,39.5,0.8695652173913043,-39.5,0.8,122.5,0.8,122.5,0.8695652173913043,4.0,4.0,,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,1.0,0.0,78.6,50.0,65,31.0,0,1,7.0,51.0,0.0,20181026171145.0,21077.0
65,Q4,4th Quarter,39.5,0.8695652173913043,-39.5,0.8,122.5,0.8,122.5,0.8695652173913043,4.0,4.0,^,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,2.0,0.0,78.6,50.0,65,31.0,0,1,7.0,51.0,0.0,20181026171148.0,11086^21077
66,Q4,4th Quarter,39.5,0.8,-39.5,0.8695652173913043,123.5,0.8333333333333334,123.5,0.8333333333333334,4.0,4.0,1:2,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,2.0,0.0,78.6,50.0,65,31.0,0,1,7.0,51.0,0.0,20181026171149.0,21078.0
67,Q4,4th Quarter,39.5,0.9090909090909091,-39.5,0.7692307692307693,122.5,0.9090909090909091,122.5,0.7692307692307693,4.0,4.0,1:2^2:2,0.0,6.0,2,19.0,10.0,11.0,5.0,5,3,2.0,0.0,78.6,45.5,65,31.0,0,1,7.0,51.0,0.0,20181026171212.0,21080^21078
68,Q4,4th Quarter,39.5,0.8333333333333334,-39.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,4.0,4.0,2:2^,0.0,6.0,2,19.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,67,32.0,0,1,7.0,51.0,0.0,20181026171220.0,21079^11077
69,Q4,4th Quarter,39.5,0.8333333333333334,-39.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,4.0,4.0,,0.0,6.0,2,19.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,67,32.0,0,1,7.0,51.0,1.0,20181026171220.0,11077.0
70,Q4,4th Quarter,39.5,0.8333333333333334,-39.5,0.8333333333333334,122.5,0.9090909090909091,122.5,0.7692307692307693,4.0,4.0,,0.0,6.0,2,19.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,67,32.0,0,1,7.0,42.0,1.0,20181026171228.0,11077.0
71,Q4,4th Quarter,41.5,0.8333333333333334,-41.5,0.8333333333333334,124.5,0.8695652173913043,124.5,0.8,4.0,4.0,^,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,69,32.0,0,1,7.0,37.0,1.0,20181026171233.0,11074^21077
72,Q4,4th Quarter,41.5,0.8333333333333334,-41.5,0.8333333333333334,124.5,0.8695652173913043,124.5,0.8,4.0,4.0,,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,69,32.0,0,1,7.0,37.0,1.0,20181026171234.0,21077.0
73,Q4,4th Quarter,41.5,0.8333333333333334,-41.5,0.8333333333333334,124.5,0.8,124.5,0.8695652173913043,4.0,4.0,,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,69,32.0,0,1,7.0,28.0,1.0,20181026171242.0,21077.0
74,Q4,4th Quarter,42.5,0.8,-42.5,0.8695652173913043,124.5,0.7142857142857143,124.5,1.0,4.0,4.0,,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,69,32.0,0,1,7.0,25.0,1.0,20181026171246.0,11077.0
75,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.9090909090909091,123.5,0.7692307692307693,4.0,4.0,,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,69,32.0,0,1,7.0,23.0,1.0,20181026171247.0,21077.0
76,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.8333333333333334,123.5,0.8333333333333334,4.0,4.0,,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,2.0,0.0,78.6,50.0,69,32.0,0,1,7.0,18.0,0.0,20181026171252.0,21077.0
77,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.8333333333333334,123.5,0.8333333333333334,4.0,4.0,^,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,3.0,0.0,78.6,50.0,69,32.0,0,1,7.0,18.0,0.0,20181026171301.0,11086^21077
78,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.8333333333333334,123.5,0.8333333333333334,4.0,4.0,^,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,3.0,0.0,78.6,50.0,69,32.0,0,1,7.0,15.0,0.0,20181026171312.0,11086^21077
79,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.9090909090909091,123.5,0.7692307692307693,4.0,4.0,^,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,3.0,0.0,78.6,50.0,69,32.0,0,1,7.0,21.0,1.0,20181026171316.0,11086^21077
80,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.8333333333333334,123.5,0.8333333333333334,4.0,4.0,^,0.0,6.0,2,20.0,10.0,11.0,6.0,5,3,3.0,0.0,78.6,50.0,69,32.0,0,1,7.0,18.0,0.0,20181026171318.0,11086^21077
81,Q4,4th Quarter,41.5,0.8,-41.5,0.8695652173913043,123.5,0.8333333333333334,123.5,0.8333333333333334,4.0,4.0,^,1.0,6.0,2,20.0,10.0,11.0,6.0,5,3,4.0,0.0,78.6,50.0,69,32.0,0,1,7.0,18.0,0.0,20181026171321.0,11086^21077
