,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
40,,,,第1节,-1.5,0.95,1.5,1.0,156.5,0.87,156.5,0.87,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11077.0,,0.83,0.91,
41,,,,第1节,-1.5,0.77,-1.5,1.0,156.5,0.87,156.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11077.0,,0.83,0.91,
42,,,,第1节,1.5,0.77,-1.5,1.0,156.5,0.87,157.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11077.0,,0.83,0.91,
43,,,,第1节,1.5,0.77,-1.5,1.0,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11077.0,,0.83,0.91,
44,,,,第1节,1.5,0.77,-1.5,1.0,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,1:2,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11078.0,,0.87,0.87,
45,,,,第1节,1.5,0.77,-1.5,1.0,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,1:2,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11080.0,,0.87,0.87,"0.20,0.50"
46,,,,第1节,1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,1.5,1.0,9220083.0,2:2,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11078.0,,0.87,0.87,"0.20,0.50"
47,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.83,157.5,0.91,-1.5,1.0,9220083.0,2:2,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,4.0,3.0,0.0,1,9.0,GD,1.0,0,,11079.0,,0.87,0.87,"0.20,0.50"
48,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.83,157.5,0.91,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
49,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,1.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
50,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,1.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
51,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,1.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
52,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,1.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
53,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,1.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
54,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,1.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
55,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
56,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
57,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
58,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
59,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21077.0,,0.87,0.87,
60,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,9.0,GD,1.0,0,,21094.0,,0.87,0.87,"0.09,0.93"
