,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
42,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,54.0,0,,11077.0,
43,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,35.0,0,,11077.0,
44,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,35.0,0,,11077.0,
45,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,33.0,0,,11077.0,
46,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,33.0,0,,11077.0,
47,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,30.0,0,,11077.0,
48,,,,第1节,-69.5,0.83,69.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,30.0,0,,21077.0,
49,,,,第1节,-69.5,0.83,69.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,30.0,0,,21077.0,
50,,,,第1节,-69.5,0.83,70.5,0.83,151.5,0.83,151.5,0.83,70.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,30.0,0,,21077.0,
51,,,,第1节,-70.5,0.83,70.5,0.83,151.5,0.83,153.5,0.87,-70.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,30.0,0,,21077.0,
52,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,30.0,0,,21077.0,
53,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,14.0,0,,21077.0,
54,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,14.0,0,,21074.0,"0.10,0.50"
55,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,8.0,GD,14.0,0,,11077.0,
56,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,8.0,GD,14.0,0,,11095.0,"0.86,0.45"
57,,,,第1节,-70.5,0.8,69.5,0.87,153.5,0.8,153.5,0.87,69.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,8.0,GD,14.0,0,,21077.0,
