,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
42,44.0,5.0,第4节,19.5,0.83,-19.5,0.83,19.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,2.0,0,,11078.0
43,44.0,5.0,第4节,19.5,0.83,-19.5,0.83,19.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,2.0,0,,11078.0
44,44.0,5.0,第4节,19.5,0.83,-19.5,0.83,19.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,11078.0
45,44.0,5.0,第4节,19.5,0.91,-18.5,0.77,-18.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,11078.0
46,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,11080.0
47,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,11078.0
48,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,11080.0
49,44.0,5.0,第4节,18.5,0.77,-18.5,0.91,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,21077.0
50,44.0,5.0,第4节,18.5,0.77,-18.5,0.91,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,0.0,0,,21074.0
51,44.0,5.0,第4节,18.5,0.77,-18.5,0.91,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,0.0,1,4.0,0.0,0,,11077.0
52,44.0,5.0,第4节,18.5,0.77,-18.5,0.91,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,0.0,1,3.0,55.0,0,,11077.0
53,44.0,5.0,第4节,18.5,0.8,-17.5,0.87,-17.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,0.0,1,3.0,55.0,0,,11077.0
54,44.0,5.0,第4节,17.5,0.8,-17.5,0.87,17.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,1.0,1,3.0,55.0,0,,11077.0
55,44.0,5.0,第4节,17.5,0.8,-17.5,0.87,17.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,1.0,1,3.0,55.0,0,,11086.0
56,44.0,5.0,第4节,17.5,0.8,-16.5,0.87,-16.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,1.0,1,3.0,55.0,0,,21077.0
57,44.0,5.0,第4节,16.5,0.83,-16.5,0.83,16.5,1:1,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,0.0,1,3.0,55.0,0,,21078.0
58,44.0,5.0,第4节,16.5,0.8,-16.5,0.87,16.5,1:1,12,8,29,23,13,13,0,0,3,2,65.0,65.0,91,107,0.0,1,3.0,55.0,0,,21079.0
59,44.0,5.0,第4节,16.5,0.8,-16.5,0.87,16.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,55.0,0,,11077.0
