,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,MS,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
51,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,29.0,0.0,20180721113333.0,21077.0,,0.0,0.0
52,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,29.0,1.0,20180721113337.0,21077.0,,0.0,0.0
53,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,29.0,1.0,20180721113337.0,21077.0,,0.0,0.0
54,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,29.0,1.0,20180721113338.0,21077.0,,0.0,0.0
55,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.87,191.5,0.8,190.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,29.0,1.0,20180721113338.0,21077.0,,0.0,0.0
56,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.87,190.5,0.8,190.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113341.0,21077.0,,0.0,0.0
57,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.87,190.5,0.8,190.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113341.0,21077.0,,0.0,0.0
58,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.87,190.5,0.8,190.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113344.0,21077.0,,0.0,0.0
59,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,190.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113344.0,11086.0,,0.0,0.0
60,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113349.0,11086.0,,0.0,0.0
61,,,PHUMUSVI,,,,6.5,0.87,-6.5,0.83,191.5,0.83,191.5,0.83,6.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113349.0,11086.0,,0.0,0.0
62,,,PHUMUSVI,,,,6.5,0.87,-6.5,0.8,191.5,0.83,191.5,0.83,-6.5,,,9482924.0,0.0,1:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113350.0,21078.0,,0.0,0.0
63,,,PHUMUSVI,,,,6.5,0.87,-6.5,0.8,191.5,0.83,191.5,0.83,-6.5,,,9482924.0,0.0,1:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113350.0,21078.0,,0.0,0.0
64,,,PHUMUSVI,,,,6.5,0.87,-6.5,0.8,191.5,0.83,191.5,0.83,-6.5,,,9482924.0,0.0,1:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113406.0,21078.0,,0.0,0.0
65,,,PHUMUSVI,,,,7.5,0.8,-7.5,0.8,191.5,0.83,191.5,0.83,7.5,,,9482924.0,0.0,1:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113406.0,21078.0,,0.0,0.0
66,,,PHUMUSVI,,,,7.5,0.8,-7.5,0.87,191.5,0.87,191.5,0.83,-7.5,,,9482924.0,0.0,1:2^2:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113406.0,21080^21078,,0.0,0.0
67,,,PHUMUSVI,,,,7.5,0.8,-7.5,0.87,190.5,0.87,191.5,0.8,190.5,,,9482924.0,0.0,1:2^2:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,0.0,20180721113406.0,21080^21078,,0.0,0.0
68,,,PHUMUSVI,,,,7.5,0.8,-7.5,0.87,190.5,0.87,190.5,0.8,190.5,,,9482924.0,0.0,1:2^2:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,1.0,20180721113420.0,21080^21078,,0.0,0.0
69,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.87,190.5,0.8,190.5,,,9482924.0,0.0,2:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,1.0,20180721113420.0,21080.0,,0.0,0.0
70,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.87,190.5,0.8,190.5,,,9482924.0,0.0,2:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,1.0,20180721113422.0,21080.0,,0.0,0.0
71,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.83,190.5,0.83,190.5,,,9482924.0,0.0,2:2,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,24.0,1.0,20180721113422.0,21080.0,,0.0,0.0
72,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,190.5,0.83,190.5,0.83,190.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,16.0,1.0,20180721113430.0,11077.0,,0.0,0.0
73,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,193.5,0.87,190.5,0.8,193.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,16.0,1.0,20180721113430.0,11077.0,,0.0,0.0
