,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
10,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,^,1.0,,6,4,31.0,26,30,,8,4,,2,2,4.0,3,3,,50.0,80.0,78.0,77,78,0,1,0.0,10.0,0.0,20180917083250.0,21086^11077
11,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,^,1.0,,6,4,31.0,26,30,,8,4,,2,2,4.0,3,3,,50.0,80.0,78.0,77,78,0,1,0.0,10.0,0.0,20180917083251.0,21086^11077
12,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,1:2,1.0,,6,4,31.0,26,30,,8,4,,2,2,4.0,3,3,,50.0,80.0,78.0,77,78,0,1,0.0,10.0,0.0,20180917083254.0,11078.0
13,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,1:2^2:2,1.0,,6,4,31.0,26,30,,8,4,,2,2,4.0,3,3,47.1,50.0,80.0,78.0,77,78,0,1,0.0,10.0,0.0,20180917083353.0,11080^11078
14,44.0,5.0,,4.0,-1.5,0.0,1.5,0.0,2.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,10.0,0.0,20180917083510.0,21081.0
15,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,9.0,1.0,20180917083634.0,21077.0
16,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,9.0,1.0,20180917083635.0,21077.0
17,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,0.0,1.0,20180917083643.0,21077.0
18,,,,4.0,-1.5,0.0,1.5,0.0,1.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,0.0,0.0,20180917083645.0,21077.0
19,,,,4.0,1.5,0.0,-1.5,0.0,2.0,,^,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,1.0,0.0,20180917083701.0,11086^21077
20,,,,4.0,1.5,0.0,-1.5,0.0,2.0,,^,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,0.0,1.0,20180917083712.0,11086^21077
21,,,,4.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,0.0,0.0,20180917083714.0,21077.0
22,,,,4.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,0.0,0.0,20180917083715.0,21077.0
23,,,,4.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,0.0,0.0,0.0,20180917083727.0,21077.0
24,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,5.0,0.0,1.0,20180917084025.0,1085.0
25,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,1.0,,6,4,31.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,78.0,78,78,0,1,4.0,47.0,1.0,20180917084040.0,11077.0
26,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,,1.0,,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,80.0,80,78,0,1,4.0,42.0,1.0,20180917084045.0,21077.0
27,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,,1.0,,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,80.0,80,78,0,1,4.0,33.0,1.0,20180917084054.0,21077.0
28,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,,1.0,,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,80.0,80,78,0,1,4.0,25.0,1.0,20180917084101.0,11077.0
29,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,7.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,83.0,83,78,0,1,4.0,8.0,1.0,20180917084119.0,21077.0
30,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,7.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,83.0,83,78,0,1,3.0,51.0,1.0,20180917084135.0,21077.0
31,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,81.0,83,81,0,1,3.0,48.0,1.0,20180917084139.0,11077.0
32,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,81.0,83,81,0,1,3.0,39.0,1.0,20180917084147.0,11077.0
33,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,4.0,3,3,50.0,50.0,80.0,81.0,83,81,0,1,3.0,33.0,0.0,20180917084153.0,11077.0
34,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,^,1.0,5.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,5.0,3,3,50.0,50.0,80.0,81.0,83,81,0,1,3.0,34.0,0.0,20180917084210.0,21086^11077
35,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,1:2,1.0,5.0,6,4,27.0,26,30,9.0,8,4,1.0,2,2,5.0,3,3,50.0,50.0,80.0,81.0,83,81,0,1,3.0,34.0,0.0,20180917084211.0,11078.0
36,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,2:2^,1.0,5.0,6,4,27.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,85.0,85,81,0,1,3.0,33.0,1.0,20180917084300.0,11079^21077
37,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,27.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,85.0,85,81,0,1,3.0,33.0,1.0,20180917084301.0,21077.0
38,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,27.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,85.0,85,81,0,1,3.0,24.0,1.0,20180917084309.0,21077.0
39,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,27.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,85.0,85,81,0,1,3.0,17.0,1.0,20180917084317.0,21077.0
40,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,^,1.0,5.0,6,4,32.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,83.0,85,83,0,1,3.0,14.0,0.0,20180917084320.0,21074^11077
41,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,^,1.0,5.0,6,4,32.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,83.0,85,83,0,1,3.0,14.0,0.0,20180917084321.0,11086^21077
42,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,1:1,1.0,5.0,6,4,32.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,55.0,50.0,80.0,83.0,85,83,0,1,3.0,14.0,0.0,20180917084323.0,21078.0
43,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,1:1^,1.0,5.0,6,4,32.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,66.7,50.0,80.0,83.0,85,83,0,1,3.0,14.0,1.0,20180917084343.0,21080^11077
44,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,32.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,66.7,50.0,80.0,83.0,85,83,0,1,3.0,13.0,1.0,20180917084345.0,11077.0
45,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,28.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,66.7,50.0,80.0,87.0,87,83,0,1,3.0,2.0,1.0,20180917084357.0,21077.0
46,,,OT 1,Overtime 1,3.5,0.0,-3.5,0.0,2.0,5.0,,1.0,5.0,6,4,28.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,66.7,50.0,80.0,87.0,87,83,0,1,2.0,54.0,1.0,20180917084406.0,21077.0
47,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,5.0,6,4,29.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,66.7,50.0,80.0,89.0,89,83,0,1,2.0,45.0,1.0,20180917084415.0,21077.0
48,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,5.0,6,4,29.0,26,30,11.0,8,4,1.0,2,2,5.0,3,3,66.7,50.0,80.0,89.0,89,83,0,1,2.0,43.0,0.0,20180917084417.0,21077.0
49,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,5.0,6,4,29.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,89.0,89,83,0,1,2.0,42.0,1.0,20180917084558.0,21077.0
50,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,5.0,6,4,29.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,89.0,89,83,0,1,2.0,42.0,1.0,20180917084559.0,21077.0
51,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,5.0,6,4,29.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,89.0,89,83,0,1,2.0,33.0,1.0,20180917084607.0,21077.0
52,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,35.0,1.0,20180917084612.0,11077.0
53,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,26.0,1.0,20180917084620.0,11077.0
54,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,18.0,1.0,20180917084628.0,11077.0
55,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,10.0,1.0,20180917084636.0,11077.0
56,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,5.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,9.0,0.0,20180917084637.0,11077.0
57,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,^,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,6.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,10.0,0.0,20180917084642.0,21086^11077
58,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,1:2,1.0,5.0,6,4,33.0,26,30,11.0,8,4,0.0,2,2,6.0,3,3,66.7,50.0,80.0,85.0,89,85,0,1,2.0,10.0,0.0,20180917084644.0,11078.0
59,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,2:2^,1.0,5.0,6,4,33.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,91.0,91,85,0,1,2.0,9.0,1.0,20180917084752.0,11079^21077
60,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,91.0,91,85,0,1,2.0,9.0,1.0,20180917084753.0,21077.0
61,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,91.0,91,85,0,1,1.0,39.0,1.0,20180917084820.0,11077.0
62,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,2.0,5.0,,1.0,5.0,6,4,33.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,91.0,91,85,0,1,1.0,31.0,1.0,20180917084829.0,11077.0
63,,,OT 1,Overtime 1,7.5,0.0,-7.5,0.0,2.0,5.0,,1.0,5.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,93.0,93,85,0,1,1.0,28.0,1.0,20180917084832.0,21077.0
64,,,OT 1,Overtime 1,7.5,0.0,-7.5,0.0,2.0,5.0,,1.0,5.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,93.0,93,85,0,1,1.0,11.0,1.0,20180917084849.0,21077.0
65,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,1.0,10.0,1.0,20180917084851.0,11077.0
66,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,0.0,53.0,1.0,20180917084907.0,11077.0
67,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,0.0,45.0,1.0,20180917084915.0,21077.0
68,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,2.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,0.0,37.0,0.0,20180917084923.0,21077.0
69,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,6.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,0.0,27.0,1.0,20180917084944.0,11077.0
70,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,1.0,5.0,^,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,7.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,0.0,24.0,0.0,20180917084955.0,21086^11077
71,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,1:2,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,7.0,3,3,59.1,50.0,80.0,88.0,93,88,0,1,0.0,24.0,0.0,20180917084957.0,11078.0
72,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,1:2^2:2,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,7.0,3,3,56.5,50.0,80.0,88.0,93,88,0,1,0.0,24.0,0.0,20180917085024.0,11080^11078
73,,,OT 1,Overtime 1,4.5,0.0,-4.5,0.0,1.0,5.0,1:2^2:2,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,7.0,3,3,56.5,50.0,80.0,88.0,93,88,0,1,0.0,24.0,1.0,20180917085042.0,11080^11078
74,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,7.0,3,3,54.2,50.0,80.0,88.0,93,88,0,1,0.0,16.0,0.0,20180917085051.0,11077.0
75,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,7.0,3,3,54.2,50.0,80.0,88.0,93,88,0,1,0.0,16.0,0.0,20180917085052.0,11077.0
76,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,2.0,5.0,1:2,1.0,6.0,6,4,30.0,26,30,13.0,8,4,0.0,2,2,8.0,3,3,54.2,50.0,80.0,88.0,93,88,0,1,0.0,18.0,0.0,20180917085054.0,11078.0
77,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,1.0,5.0,2:2^,1.0,6.0,6,4,30.0,26,30,14.0,8,4,0.0,2,2,8.0,3,3,53.8,50.0,80.0,94.0,94,88,0,1,0.0,18.0,1.0,20180917085127.0,11080^21077
78,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,14.0,8,4,0.0,2,2,8.0,3,3,53.8,50.0,80.0,94.0,94,88,0,1,0.0,17.0,1.0,20180917085128.0,11077.0
79,,,OT 1,Overtime 1,5.5,0.0,-5.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,14.0,8,4,0.0,2,2,8.0,3,3,53.8,50.0,80.0,94.0,94,88,0,1,0.0,16.0,1.0,20180917085130.0,21077.0
80,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,14.0,8,4,0.0,2,2,8.0,3,3,53.8,50.0,80.0,94.0,94,88,0,1,0.0,13.0,1.0,20180917085135.0,11077.0
81,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,14.0,8,4,0.0,2,2,8.0,3,3,53.8,50.0,80.0,94.0,94,88,0,1,0.0,8.0,0.0,20180917085139.0,11077.0
82,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,1:2,1.0,6.0,6,4,30.0,26,30,14.0,8,4,0.0,2,2,9.0,3,3,53.8,50.0,80.0,94.0,94,88,0,1,0.0,8.0,0.0,20180917085144.0,11078.0
83,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,2:2^,1.0,6.0,6,4,30.0,26,30,15.0,8,4,0.0,2,2,9.0,3,3,53.6,50.0,80.0,95.0,95,88,0,1,0.0,8.0,1.0,20180917085220.0,11080^21077
84,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,2:2^,1.0,6.0,6,4,30.0,26,30,15.0,8,4,0.0,2,2,9.0,3,3,53.6,50.0,80.0,95.0,95,88,0,1,0.0,0.0,0.0,20180917085228.0,11080^21077
85,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,^,1.0,6.0,6,4,30.0,26,30,15.0,8,4,0.0,2,2,6.0,3,3,53.6,50.0,80.0,95.0,95,88,0,1,0.0,8.0,0.0,20180917085229.0,11086^21077
86,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,1:2,1.0,6.0,6,4,30.0,26,30,15.0,8,4,0.0,2,2,6.0,3,3,53.6,50.0,80.0,95.0,95,88,0,1,0.0,8.0,0.0,20180917085233.0,21078.0
87,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,2:2^,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,8.0,1.0,20180917085319.0,21079^11077
88,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,2:2^,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,7.0,1.0,20180917085319.0,21079^11077
89,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,3.0,1.0,20180917085322.0,11077.0
90,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085333.0,11077.0
91,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085333.0,1084.0
92,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085338.0,1084.0
93,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085338.0,1084.0
94,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085338.0,1084.0
95,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085338.0,1084.0
96,,,OT 1,Overtime 1,6.5,0.0,-6.5,0.0,1.0,5.0,,1.0,6.0,6,4,30.0,26,30,5.0,8,4,0.0,2,2,6.0,3,3,62.5,50.0,80.0,89.0,95,89,0,1,0.0,0.0,0.0,20180917085338.0,1084.0
