,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
43,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.7692307692307693,147.5,0.9090909090909091,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,46.0,1.0,20180922172417.0,21077.0
44,4.0,26.5,0.8,-26.5,0.8695652173913043,146.5,1.0,146.5,0.7142857142857143,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,43.0,1.0,20180922172418.0,21077.0
45,4.0,26.5,0.8,-26.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,39.0,1.0,20180922172421.0,21077.0
46,4.0,26.5,0.8,-26.5,0.8695652173913043,146.5,0.7692307692307693,146.5,0.9090909090909091,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,30.0,1.0,20180922172429.0,21077.0
47,4.0,26.5,0.8,-26.5,0.8695652173913043,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,25.0,0.0,20180922172436.0,21077.0
48,4.0,26.5,0.8,-26.5,0.8695652173913043,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,2.0,3.0,77.8,84.6,75,48,0,1,6.0,25.0,0.0,20180922172438.0,11086.0
49,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,147.5,0.7692307692307693,147.5,0.9090909090909091,,1:2,,5.0,5,26.0,11.0,7.0,11.0,2,1,2.0,3.0,77.8,84.6,75,48,0,1,6.0,25.0,0.0,20180922172443.0,21078.0
50,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,,1:2^2:2,,5.0,5,26.0,11.0,7.0,12.0,2,1,2.0,3.0,77.8,85.7,75,49,0,1,6.0,25.0,0.0,20180922172501.0,21079^21078
51,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,1.0,147.5,0.7142857142857143,,2:2^,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,25.0,0.0,20180922172515.0,21079^11077
52,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,1.0,147.5,0.7142857142857143,,,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,25.0,0.0,20180922172518.0,11077.0
53,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,1.0,147.5,0.7142857142857143,,,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,25.0,0.0,20180922172519.0,11077.0
54,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,1.0,147.5,0.7142857142857143,,,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,25.0,1.0,20180922172519.0,11077.0
55,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,16.0,1.0,20180922172528.0,11077.0
56,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,16.0,0.0,20180922172529.0,11077.0
57,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,3.0,77.8,86.7,75,50,0,1,6.0,16.0,0.0,20180922172530.0,11077.0
58,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,4.0,77.8,86.7,75,50,0,1,6.0,16.0,0.0,20180922172532.0,21086.0
59,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,148.5,0.8695652173913043,148.5,0.8,,1:2,1.0,5.0,5,26.0,11.0,7.0,13.0,2,1,2.0,4.0,77.8,86.7,75,50,0,1,6.0,16.0,0.0,20180922172539.0,11078.0
60,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,149.5,0.7692307692307693,149.5,0.9090909090909091,,1:2^2:2,1.0,5.0,5,26.0,11.0,8.0,13.0,2,1,2.0,4.0,80.0,86.7,76,50,0,1,6.0,16.0,0.0,20180922172555.0,11079^11078
61,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,2:2^,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,6.0,16.0,0.0,20180922172607.0,11079^21077
62,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,6.0,16.0,0.0,20180922172610.0,21077.0
63,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,6.0,16.0,1.0,20180922172610.0,21077.0
64,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.7692307692307693,149.5,0.9090909090909091,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,6.0,7.0,1.0,20180922172623.0,21077.0
65,4.0,26.5,0.8,-26.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,59.0,1.0,20180922172631.0,21077.0
66,4.0,27.5,0.8,-27.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,56.0,1.0,20180922172636.0,11077.0
67,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.9090909090909091,147.5,0.7692307692307693,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,50.0,1.0,20180922172641.0,21077.0
68,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,41.0,1.0,20180922172650.0,21077.0
69,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,41.0,1.0,20180922172655.0,11077.0
70,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,28.0,1.0,20180922172703.0,11077.0
71,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.7692307692307693,147.5,0.9090909090909091,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,20.0,1.0,20180922172711.0,11077.0
72,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.8695652173913043,147.5,0.8,,,1.0,5.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,77,50,0,1,5.0,12.0,1.0,20180922172719.0,11077.0
73,4.0,27.5,0.8,-27.5,0.8695652173913043,150.5,0.9090909090909091,150.5,0.7692307692307693,,^,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,5.0,11.0,1.0,20180922172721.0,11075^21077
74,4.0,27.5,0.8,-27.5,0.8695652173913043,150.5,0.9090909090909091,150.5,0.7692307692307693,,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,5.0,11.0,1.0,20180922172722.0,21077.0
75,4.0,27.5,0.8,-27.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,5.0,2.0,1.0,20180922172730.0,21077.0
76,4.0,27.5,0.8,-27.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,4.0,54.0,1.0,20180922172738.0,21077.0
77,4.0,28.5,0.8,-28.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,4.0,49.0,1.0,20180922172743.0,11077.0
78,4.0,28.5,0.8,-28.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,4.0,41.0,1.0,20180922172750.0,11077.0
79,4.0,28.5,0.8,-28.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,4.0,32.0,1.0,20180922172758.0,11077.0
80,4.0,28.5,0.8,-28.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,4.0,30.0,0.0,20180922172801.0,11077.0
81,4.0,28.5,0.8,-28.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,4.0,81.8,86.7,80,52,0,1,4.0,30.0,0.0,20180922172805.0,11077.0
82,4.0,28.5,0.8,-28.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,5.0,81.8,86.7,80,52,0,1,4.0,30.0,0.0,20180922172811.0,21086.0
83,4.0,28.5,0.8695652173913043,-28.5,0.8,150.5,0.8,150.5,0.8695652173913043,4.0,1:2,1.0,6.0,5,26.0,11.0,9.0,13.0,2,1,2.0,5.0,81.8,86.7,80,52,0,1,4.0,30.0,0.0,20180922172812.0,11078.0
84,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,1:2^2:2,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,30.0,0.0,20180922172839.0,11079^11078
85,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,30.0,0.0,20180922172852.0,21077.0
86,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,30.0,0.0,20180922172853.0,21077.0
87,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,30.0,1.0,20180922172853.0,21077.0
88,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,21.0,1.0,20180922172901.0,21077.0
89,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,13.0,1.0,20180922172910.0,21077.0
90,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,12.0,0.0,20180922172912.0,21077.0
91,4.0,28.5,1.0,-28.5,0.7142857142857143,150.5,0.8,150.5,0.8695652173913043,4.0,,1.0,6.0,5,26.0,11.0,10.0,13.0,2,1,2.0,5.0,83.3,86.7,81,52,0,1,4.0,12.0,0.0,20180922172913.0,21077.0
