,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
20,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,46.0,1,20180709163023,21077.0,0.0,0.0
21,,,,,16.5,0.87,-17.5,0.8,130.5,0.83,130.5,0.83,-17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,46.0,1,20180709163023,21077.0,0.0,0.0
22,,,,,17.5,0.87,-17.5,0.8,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,42.0,1,20180709163023,21077.0,0.0,0.0
23,,,,,17.5,0.87,-17.5,0.8,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,42.0,1,20180709163023,21077.0,0.0,0.0
24,,,,,17.5,0.87,-17.5,0.8,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,41.0,1,20180709163023,21077.0,0.0,0.0
25,,,,,17.5,0.87,-17.5,0.8,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,41.0,1,20180709163023,21077.0,0.0,0.0
26,,,,,17.5,0.87,-17.5,0.8,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,35.0,1,20180709163023,21077.0,0.0,0.0
27,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,35.0,1,20180709163023,21077.0,0.0,0.0
28,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,20.0,1,20180709163023,21077.0,0.0,0.0
29,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,20.0,1,20180709163023,11077.0,0.0,0.0
30,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,9.0,GD,12.0,1,20180709163023,21077.0,0.0,0.0
31,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,12.0,1,20180709163023,21077.0,0.0,0.0
32,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,48.0,1,20180709163023,21077.0,0.0,0.0
33,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,48.0,1,20180709163023,11077.0,0.0,0.0
34,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,41.0,1,20180709163023,11077.0,0.0,0.0
35,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,41.0,1,20180709163023,21077.0,0.0,0.0
36,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,14.0,1,20180709163023,21077.0,0.0,0.0
37,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,14.0,1,20180709163023,11077.0,0.0,0.0
38,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,8.0,GD,2.0,1,20180709163023,11077.0,0.0,0.0
39,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,2.0,1,20180709163023,11077.0,0.0,0.0
40,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,57.0,1,20180709163023,11077.0,0.0,0.0
41,,,,,17.5,0.83,-17.5,0.83,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,57.0,1,20180709163023,11086.0,0.0,0.0
42,,,,,17.5,0.8,-17.5,0.87,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,21077.0,0.0,0.0
43,,,,,17.5,0.8,-17.5,0.87,130.5,0.83,130.5,0.83,17.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,11086.0,0.0,0.0
44,,,,,17.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,-16.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,21077.0,0.0,0.0
45,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,21077.0,0.0,0.0
46,,,,,16.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,-15.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,21077.0,0.0,0.0
47,,,,,15.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,15.5,1.0,1:2,2,0,0,0,21,30,8,8,0.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,21078.0,0.0,0.0
48,,,,,15.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,-16.5,1.0,1:2,2,0,0,0,21,30,8,8,0.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,21078.0,0.0,0.0
49,,,,,16.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,0.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,21074.0,0.0,0.0
50,,,,,16.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,11077.0,0.0,0.0
51,,,,,16.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,-15.5,1.0,,2,0,0,0,21,30,8,8,2.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,11077.0,0.0,0.0
52,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,1:1,2,0,0,0,21,30,8,8,2.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,21078.0,0.0,0.0
53,,,,,15.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,15.5,1.0,1:1,2,0,0,0,21,30,8,8,2.0,2.0,1.0,0,7.0,GD,44.0,1,20180709163023,21080.0,0.0,0.0
54,,,,,15.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,2.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,11077.0,0.0,0.0
55,,,,,15.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,-16.5,1.0,,2,0,0,0,21,30,8,8,2.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,11077.0,0.0,0.0
56,,,,,16.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,2.0,0.0,0,7.0,GD,44.0,1,20180709163023,11074.0,0.0,0.0
57,,,,,16.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,4.0,0.0,0,7.0,GD,33.0,1,20180709163023,21077.0,0.0,0.0
58,,,,,16.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,4.0,0.0,0,7.0,GD,33.0,1,20180709163023,21077.0,0.0,0.0
59,,,,,16.5,0.87,-16.5,0.8,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,4.0,0.0,0,7.0,GD,28.0,1,20180709163023,21077.0,0.0,0.0
60,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,4.0,0.0,0,7.0,GD,28.0,1,20180709163023,21077.0,0.0,0.0
61,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,4.0,0.0,0,7.0,GD,18.0,1,20180709163023,21077.0,0.0,0.0
62,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,2.0,4.0,0.0,0,7.0,GD,18.0,1,20180709163023,21074.0,0.0,0.0
63,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,7.0,GD,18.0,1,20180709163023,11077.0,0.0,0.0
64,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,16.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,7.0,GD,16.0,1,20180709163023,11077.0,0.0,0.0
65,,,,,16.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,-15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,7.0,GD,16.0,1,20180709163023,11077.0,0.0,0.0
66,,,,,15.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,7.0,GD,9.0,1,20180709163023,11077.0,0.0,0.0
67,,,,,15.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,7.0,GD,9.0,1,20180709163023,11077.0,0.0,0.0
68,,,,,15.5,0.83,-15.5,0.83,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,7.0,GD,7.0,1,20180709163023,11077.0,0.0,0.0
69,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,6.0,GD,7.0,1,20180709163023,21077.0,0.0,0.0
70,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,6.0,GD,48.0,1,20180709163023,21077.0,0.0,0.0
71,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,6.0,GD,48.0,1,20180709163023,21077.0,0.0,0.0
72,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,6.0,GD,28.0,1,20180709163023,21077.0,0.0,0.0
73,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,4.0,4.0,0.0,0,6.0,GD,28.0,1,20180709163023,21074.0,0.0,0.0
74,,,,,15.5,0.8,-15.5,0.87,130.5,0.83,130.5,0.83,15.5,1.0,,2,0,0,0,21,30,8,8,6.0,4.0,0.0,0,6.0,GD,28.0,1,20180709163023,11077.0,0.0,0.0
75,,,,,15.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,-13.5,1.0,,2,0,0,0,21,30,8,8,6.0,4.0,0.0,0,6.0,GD,28.0,1,20180709163023,11077.0,0.0,0.0
76,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,6.0,4.0,0.0,0,6.0,GD,19.0,1,20180709163023,11077.0,0.0,0.0
77,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,6.0,4.0,0.0,0,6.0,GD,19.0,1,20180709163023,11074.0,0.0,0.0
78,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,6.0,GD,19.0,1,20180709163023,21077.0,0.0,0.0
79,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,6.0,GD,12.0,1,20180709163023,21077.0,0.0,0.0
80,,,,,13.5,0.83,-14.5,0.83,130.5,0.83,130.5,0.83,-14.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,6.0,GD,12.0,1,20180709163023,21077.0,0.0,0.0
81,,,,,14.5,0.83,-14.5,0.83,130.5,0.83,130.5,0.83,14.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,6.0,GD,4.0,1,20180709163023,21077.0,0.0,0.0
82,,,,,14.5,0.83,-14.5,0.83,130.5,0.83,130.5,0.83,14.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,5.0,GD,4.0,1,20180709163023,21077.0,0.0,0.0
83,,,,,14.5,0.83,-14.5,0.83,130.5,0.83,130.5,0.83,14.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,5.0,GD,56.0,1,20180709163023,21077.0,0.0,0.0
84,,,,,14.5,0.83,-14.5,0.83,130.5,0.83,130.5,0.83,14.5,1.0,,2,0,0,0,21,30,8,8,6.0,6.0,0.0,0,5.0,GD,56.0,1,20180709163023,21074.0,0.0,0.0
85,,,,,14.5,0.83,-14.5,0.83,130.5,0.83,130.5,0.83,14.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,56.0,1,20180709163023,11077.0,0.0,0.0
86,,,,,14.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,-13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,56.0,1,20180709163023,11077.0,0.0,0.0
87,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,50.0,1,20180709163023,11077.0,0.0,0.0
88,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,50.0,1,20180709163023,11077.0,0.0,0.0
89,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,49.0,1,20180709163023,11077.0,0.0,0.0
90,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,49.0,1,20180709163023,11077.0,0.0,0.0
91,,,,,13.5,0.83,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,43.0,1,20180709163023,11077.0,0.0,0.0
92,,,,,13.5,0.8,-13.5,0.87,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,43.0,1,20180709163023,21077.0,0.0,0.0
93,,,,,13.5,0.8,-13.5,0.87,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,43.0,1,20180709163023,11086.0,0.0,0.0
94,,,,,13.5,0.8,-13.5,0.87,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,31.0,1,20180709163023,21077.0,0.0,0.0
95,,,,,13.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,-12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,31.0,1,20180709163023,21077.0,0.0,0.0
96,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,1.0,0,5.0,GD,31.0,1,20180709163023,21077.0,0.0,0.0
97,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,1.0,0,5.0,GD,31.0,1,20180709163023,21077.0,0.0,0.0
98,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,31.0,1,20180709163023,21077.0,0.0,0.0
99,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,26.0,1,20180709163023,21077.0,0.0,0.0
100,,,,,12.5,0.8,-13.5,0.87,130.5,0.83,130.5,0.83,-13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,26.0,1,20180709163023,11077.0,0.0,0.0
101,,,,,13.5,0.8,-13.5,0.83,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,26.0,1,20180709163023,21077.0,0.0,0.0
102,,,,,13.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,-12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,26.0,1,20180709163023,21077.0,0.0,0.0
103,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,15.0,1,20180709163023,11077.0,0.0,0.0
104,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,15.0,1,20180709163023,21086.0,0.0,0.0
105,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,2.0,1,20180709163023,11077.0,0.0,0.0
106,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,2.0,1,20180709163023,11077.0,0.0,0.0
107,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,1.0,1,20180709163023,11077.0,0.0,0.0
108,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,6.0,0.0,0,5.0,GD,1.0,1,20180709163023,11074.0,0.0,0.0
109,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,5.0,GD,1.0,1,20180709163023,21077.0,0.0,0.0
110,,,,,12.5,0.8,-14.5,0.87,130.5,0.83,130.5,0.83,-14.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,5.0,GD,1.0,1,20180709163023,21077.0,0.0,0.0
111,,,,,14.5,0.8,-14.5,0.87,130.5,0.83,130.5,0.83,14.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,53.0,1,20180709163023,21077.0,0.0,0.0
112,,,,,14.5,0.87,-13.5,0.8,130.5,0.83,130.5,0.83,-13.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,53.0,1,20180709163023,21077.0,0.0,0.0
113,,,,,13.5,0.87,-13.5,0.8,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,46.0,1,20180709163023,21077.0,0.0,0.0
114,,,,,13.5,0.87,-13.5,0.8,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,46.0,1,20180709163023,11086.0,0.0,0.0
115,,,,,13.5,0.87,-13.5,0.8,130.5,0.83,130.5,0.83,13.5,1.0,,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,37.0,1,20180709163023,21077.0,0.0,0.0
116,,,,,13.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,-12.5,1.0,1:2,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,37.0,1,20180709163023,21078.0,0.0,0.0
117,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,1:2,2,0,0,0,21,30,8,8,8.0,8.0,0.0,0,4.0,GD,37.0,1,20180709163023,21079.0,0.0,0.0
118,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,2:2,2,0,0,0,21,30,8,8,9.0,8.0,0.0,0,4.0,GD,37.0,1,20180709163023,21078.0,0.0,0.0
119,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,2:2,2,0,0,0,21,30,8,8,9.0,8.0,1.0,0,4.0,GD,37.0,1,20180709163023,21080.0,0.0,0.0
120,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,2:2,2,0,0,0,21,30,8,8,9.0,8.0,1.0,0,4.0,GD,37.0,1,20180709163023,21080.0,0.0,0.0
121,,,,,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,12.5,1.0,2:2,2,0,0,0,21,30,8,8,9.0,8.0,0.0,0,4.0,GD,37.0,1,20180709163023,21080.0,0.0,0.0
122,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,9.0,8.0,0.0,0,4.0,GD,22.0,1,20180709163023,11077.0,0.0,0.0
123,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,9.0,8.0,0.0,0,4.0,GD,22.0,1,20180709163023,11074.0,0.0,0.0
124,,,,,12.5,0.87,-12.5,0.8,130.5,0.83,130.5,0.83,12.5,1.0,,2,0,0,0,21,30,8,8,9.0,10.0,0.0,0,4.0,GD,17.0,1,20180709163023,21077.0,0.0,0.0
125,,,,,12.5,0.8,-14.5,0.87,130.5,0.83,130.5,0.83,-14.5,1.0,,2,0,0,0,21,30,8,8,9.0,10.0,0.0,0,4.0,GD,17.0,1,20180709163023,21077.0,0.0,0.0
