,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
69,,20.5,0.0,-20.5,0.0,128.5,0.8,126.5,0.8695652173913043,127.5,126.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
70,,20.5,0.0,-20.5,0.0,128.5,0.8,126.5,0.8695652173913043,126.5,126.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
71,,20.5,0.0,-20.5,0.0,128.5,0.8,126.5,0.8695652173913043,126.5,126.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
72,,20.5,0.0,-20.5,0.0,128.5,0.8,126.5,0.8695652173913043,126.5,126.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.25,
73,,20.5,0.0,-20.5,0.0,128.5,0.8,126.5,0.8695652173913043,126.5,126.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3333333333333333,2.25,
74,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8695652173913043,126.5,126.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3333333333333333,2.25,
75,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8695652173913043,126.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3333333333333333,2.25,
76,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8695652173913043,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3333333333333333,2.25,
77,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8695652173913043,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3333333333333333,2.25,
78,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8695652173913043,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3333333333333333,1.7,
79,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8695652173913043,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.4166666666666667,1.7,
80,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8695652173913043,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.4166666666666667,1.7,
81,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8695652173913043,128.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.4166666666666667,1.7,
82,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8695652173913043,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.4166666666666667,1.7,
83,,20.5,0.0,-20.5,0.0,127.5,0.8,127.5,0.8695652173913043,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.4166666666666667,1.7,
