,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
100,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,146.5,0.7142857142857143,146.5,1.0,7.0,4.0,0.006666666666666667,,70.0,58.0,0,1,4.0,41.0,1.0,20180913154228.0,21077.0,10.5,0.016666666666666666,
101,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,,70.0,58.0,0,1,4.0,39.0,0.0,20180913154230.0,21077.0,10.5,0.016666666666666666,
102,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,^,70.0,58.0,0,1,4.0,40.0,0.0,20180913154242.0,11086^21077,10.5,0.016666666666666666,^
103,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,^,70.0,58.0,0,1,4.0,40.0,0.0,20180913154244.0,11086^21077,10.5,0.016666666666666666,^
104,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,,70.0,58.0,0,1,4.0,40.0,0.0,20180913154248.0,21081.0,10.5,0.016666666666666666,
105,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,,70.0,58.0,0,1,4.0,40.0,0.0,20180913154249.0,21081.0,10.5,0.016666666666666666,
106,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,,70.0,58.0,0,1,4.0,39.0,0.0,20180913154249.0,21081.0,10.5,0.016666666666666666,
107,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,145.5,1.0,145.5,0.7142857142857143,7.0,4.0,0.006666666666666667,,70.0,58.0,0,1,4.0,40.0,0.0,20180913154249.0,21081.0,10.5,0.016666666666666666,
108,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,7.0,4.0,0.016666666666666666,^,70.0,61.0,0,1,4.0,35.0,0.0,20180913154418.0,21075^11077,10.5,0.016666666666666666,^
109,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,7.0,4.0,0.016666666666666666,,70.0,61.0,0,1,4.0,34.0,0.0,20180913154419.0,11077.0,10.5,0.016666666666666666,
110,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,7.0,4.0,0.016666666666666666,,70.0,61.0,0,1,4.0,31.0,0.0,20180913154422.0,11077.0,10.5,0.016666666666666666,
111,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,7.0,4.0,0.030303030303030304,^,70.0,61.0,0,1,4.0,31.0,0.0,20180913154424.0,11086^21077,10.5,0.016666666666666666,^
