,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
68,,,,,17.5,0.8,-17.5,0.87,149.5,0.8,148.5,0.87,149.5,,0.0,2:3^3:3,,,5,11.0,10,,3,4,2.0,0,30.0,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013438.0,11080^11078,0.0,0.0
69,,,,,17.5,0.8,-17.5,0.87,149.5,0.8,149.5,0.87,149.5,,0.0,2:3^3:3,,,5,11.0,10,,3,4,2.0,0,30.0,37.5,41.0,41,31.0,0.0,1,8.0,57.0,0.0,20180721013454.0,11080^11078,0.0,0.0
70,,,,,17.5,0.83,-17.5,0.83,149.5,0.8,149.5,0.87,149.5,,0.0,3:3^,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,57.0,0.0,20180721013454.0,11079^21077,0.0,0.0
71,,,,,17.5,0.83,-17.5,0.83,149.5,0.8,149.5,0.87,149.5,,0.0,3:3^,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,57.0,0.0,20180721013457.0,11079^21077,0.0,0.0
72,,,,,17.5,0.83,-17.5,0.83,149.5,0.8,149.5,0.87,149.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,57.0,0.0,20180721013457.0,21077.0,0.0,0.0
73,,,,,17.5,0.83,-17.5,0.83,149.5,0.8,149.5,0.87,149.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,57.0,1.0,20180721013459.0,21077.0,0.0,0.0
74,,,,,17.5,0.83,-17.5,0.83,148.5,0.83,149.5,0.83,148.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,57.0,1.0,20180721013459.0,21077.0,0.0,0.0
75,,,,,17.5,0.83,-17.5,0.83,148.5,0.83,148.5,0.83,148.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,49.0,1.0,20180721013507.0,21077.0,0.0,0.0
76,,,,,17.5,0.83,-17.5,0.83,147.5,0.83,148.5,0.83,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,49.0,1.0,20180721013507.0,21077.0,0.0,0.0
77,,,,,17.5,0.83,-17.5,0.83,147.5,0.83,147.5,0.83,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,41.0,1.0,20180721013515.0,21077.0,0.0,0.0
78,,,,,17.5,0.8,-17.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,41.0,1.0,20180721013515.0,21077.0,0.0,0.0
79,,,,,17.5,0.8,-17.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,37.0,1.0,20180721013519.0,21077.0,0.0,0.0
80,,,,,17.5,0.83,-17.5,0.83,147.5,0.83,147.5,0.83,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,37.0,1.0,20180721013519.0,11077.0,0.0,0.0
