,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
21,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,1:2,6.0,7,5,,20,27,,14,9,0.0,1,2,5.0,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,17.0,0.0,20181020140103.0,11078.0
22,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,1:2^2:2,6.0,7,5,,20,27,15.0,14,9,0.0,1,2,5.0,6,4,62.5,60.9,52.9,78.0,78,81,0,1,1.0,17.0,0.0,20181020140130.0,11079^11078
23,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,79,81,0,1,1.0,17.0,0.0,20181020140143.0,11079^21077
24,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,79,81,0,1,1.0,17.0,1.0,20181020140151.0,11079^21077
25,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,79,81,0,1,1.0,16.0,1.0,20181020140151.0,11079^21077
26,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,79,81,0,1,1.0,16.0,1.0,20181020140152.0,11079^21077
27,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,79,81,0,1,1.0,16.0,1.0,20181020140152.0,21077.0
28,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,^,6.0,7,5,21.0,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,1.0,7.0,1.0,20181020140201.0,11074^21077
29,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,1.0,6.0,1.0,20181020140202.0,21077.0
30,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,16.0,14,9,0.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,1.0,3.0,0.0,20181020140205.0,21077.0
31,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,16.0,14,9,1.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,1.0,3.0,0.0,20181020140206.0,21081.0
32,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,16.0,14,9,1.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,1.0,3.0,1.0,20181020140355.0,21081.0
33,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,16.0,14,9,1.0,1,2,5.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,0.0,55.0,0.0,20181020140403.0,21081.0
34,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,^,6.0,7,5,21.0,20,27,16.0,14,9,1.0,1,2,7.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,0.0,55.0,0.0,20181020140409.0,11086^21077
35,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,1:2,6.0,7,5,21.0,20,27,16.0,14,9,1.0,1,2,7.0,6,4,64.0,60.9,52.9,78.0,81,81,0,1,0.0,55.0,0.0,20181020140421.0,21078.0
36,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,1:2^2:2,6.0,7,5,21.0,20,27,10.0,14,9,1.0,1,2,7.0,6,4,55.6,60.9,52.9,78.0,81,82,0,1,0.0,55.0,0.0,20181020140444.0,21079^21078
37,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,55.0,0.0,20181020140502.0,21079^11077
38,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,55.0,1.0,20181020140505.0,21079^11077
39,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,2:2^,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,54.0,1.0,20181020140506.0,21079^11077
40,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,45.0,1.0,20181020140515.0,11077.0
41,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,37.0,1.0,20181020140523.0,11077.0
42,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,37.0,1.0,20181020140524.0,21077.0
43,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,3.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,36.0,1.0,20181020140524.0,21077.0
44,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,2.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,28.0,1.0,20181020140532.0,21077.0
45,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,2.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,20.0,1.0,20181020140540.0,21077.0
46,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,11.0,1.0,20181020140549.0,21077.0
47,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,1.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,10.0,0.0,20181020140551.0,21077.0
48,44.0,5.0,4.0,-2.5,0.0,2.5,0.0,2.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,15.0,0.0,20181020140557.0,21081.0
49,,,4.0,-2.5,0.0,2.5,0.0,2.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,15.0,1.0,20181020140817.0,21077.0
50,,,4.0,-1.5,0.0,1.5,0.0,2.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,14.0,1.0,20181020140817.0,11077.0
51,,,4.0,-1.5,0.0,1.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,5.0,1.0,20181020140826.0,11077.0
52,,,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,1.0,1.0,20181020140830.0,11077.0
53,,,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,0.0,0.0,20181020140832.0,21077.0
54,,,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,0.0,0.0,20181020140837.0,21077.0
55,,,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,0.0,0.0,20181020140845.0,21077.0
56,,,4.0,-2.5,0.0,2.5,0.0,1.0,,6.0,7,5,21.0,20,27,11.0,14,9,0.0,1,2,7.0,6,4,57.9,60.9,52.9,78.0,81,83,0,1,0.0,0.0,0.0,20181020140845.0,1084.0
